Date,Open,High,Security
7/20/2012,112,70,1
7/13/2012,112,70,1
7/6/2012,97,69,0
6/29/2012,100,69,0
6/22/2012,103,72,2
6/15/2012,43,18,0
6/8/2012,33,13,0
6/1/2012,38,17,1
