Date,Severity 1,Severity 2,Severity 3,Severity 4,Severity 5,Total
7/17/12,0,4,20,7,1,32
7/18/12,0,4,23,9,1,37
7/19/12,0,4,24,9,1,38
7/20/12,0,4,25,10,1,40
7/26/12,0,6,34,11,1,52
7/27/12,0,6,34,11,1,52
7/30/12,3,6,35,11,1,56
7/31/12,3,6,36,12,2,59
8/1/12,2,2,2,3,2,11
8/2/12,2,2,2,3,2,11
