Date,Severity 1,Severity 2,Severity 3,Severity 4,Severity 5,Total
7/16/12,1,4,2,0,2,9
7/17/12 ,1,7,2,0,2,12
7/18/12,1,5,2,0,0,8
7/19/12,2,4,2,0,1,9
7/20/12,2,5,2,0,0,9
7/26/12 ,1,6,0,0,0,7
7/27/12,2,6,0,0,0,8
7/30/12 ,0,3,0,0,0,3
7/31/12,1,4,0,0,0,5
8/1/12,1,4,0,0,0,5
8/2/12,0,3,1,0,0,4
